date,population,admission,release
2024-05-27,109010.67385699392,1978.749215749381,1468.388595008164
2024-05-28,109549.03447773513,2006.749215749381,3783.3885950081635
2024-05-29,108864.39509847634,3098.749215749381,3594.7219283414975
2024-05-30,108400.65571921757,3130.9825490827147,3424.0552616748305
2024-05-31,108063.7496732921,3087.1492157493813,3222.3885950081635
2024-06-01,108136.6769607,3295.3158824160478,1455.8885950081637
2024-06-02,108941.10424810788,2259.8158824160478,1376.0552616748303
2024-06-03,109420.69820218244,1855.649215749381,3600.7219283414975
2024-06-04,108696.95882292364,2876.9825490827147,3565.7219283414975
2024-06-05,108203.21944366487,3071.9825490827147,3280.2219283414975
2024-06-06,108093.48006440607,3170.4825490827147,3300.8885950081644
2024-06-07,108053.27401848063,3260.682549082715,3002.2219283414975
2024-06-08,108612.56797255517,3561.515882416048,1645.221928341497
2024-06-09,109197.86192662972,2230.515882416048,1478.221928341497
2024-06-10,109662.15588070427,1941.849215749381,3697.9219283414973
2024-06-11,108832.38316811218,2870.0825490827146,3265.3552616748307
2024-06-12,108636.61045552004,3069.5825490827146,3357.3552616748307
2024-06-13,108348.83774292794,3068.7492157493816,3568.0219283414976
2024-06-14,108109.56503033583,3328.7492157493816,3095.0219283414976
2024-06-15,108140.2923177437,3125.7492157493816,1391.0219283414972
2024-06-16,109106.01960515158,2356.749215749381,1489.688595008164
2024-06-17,109492.74689255946,1877.749215749381,3562.0219283414976
2024-06-18,108924.47417996736,2993.7492157493816,3457.181764407071
2024-06-19,108285.17277885065,2900.2027676619496,2000.8375021119887
2024-06-20,109031.87137773393,2551.457669622734,3314.337502111989
2024-06-21,108771.06997661725,3054.536100995283,3032.670835445322
2024-06-22,108968.06857550054,3229.669434328616,1384.6708354453226
2024-06-23,110192.06717438382,2608.669434328616,1734.6708354453226
2024-06-24,110555.06577326712,2097.669434328616,3669.6708354453226
2024-06-25,109813.23103881707,2926.8467392931548,3482.699733508199
2024-06-26,109438.29833675826,3107.7670314493953,3273.399733508199
2024-06-27,109106.16563469947,2941.2670314493953,3421.399733508199
2024-06-28,108855.03293264066,3169.7670314493953,3059.1854477939137
2024-06-29,109142.32880201042,3346.481317163681,1483.1854477939137
2024-06-30,109967.62467138021,2307.4890094713733,1583.9623708708368
2024-07-01,110417.87438690383,2034.2120863944501,3940.7623708708365
2024-07-02,109531.32410242742,3052.96208639445,3660.2623708708365
2024-07-03,109065.77381795103,3194.71208639445,3578.2623708708365
2024-07-04,108517.22353347464,3027.7423894247536,1272.1411587496248
2024-07-05,109624.58233990736,2378.999965182329,2840.407825416291
2024-07-06,109684.34114634006,2900.1666318489956,1355.4078254162914
2024-07-07,110678.09995277278,2349.1666318489956,1438.4078254162914
